# MAE takes the multiplication factor of 2 for avg(|(Target)-(Reconstrcted)|)
Airfoil_name,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,MAE
AH 81-K-144 W-F KLAPPE,1,0,0,0,0,0,0,0,0,0,0,0,0
AH 93-W-480B,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEN AIRFOIL,0,0,1,0,0,0,0,0,0,0,0,0,0
E195  (11.82%),0,0,0,1,0,0,0,0,0,0,0,0,0
EPPLER 664 (EXTENDED) AIRFOIL,0,0,0,0,1,0,0,0,0,0,0,0,0
EPPLER 864 STRUT AIRFOIL,0,0,0,0,0,1,0,0,0,0,0,0,0
FX 79-W-660A,0,0,0,0,0,0,1,0,0,0,0,0,0
GOE 531 AIRFOIL,0,0,0,0,0,0,0,1,0,0,0,0,0
Griffith 30% Suction Airfoil,0,0,0,0,0,0,0,0,1,0,0,0,0
RONCZ R1145MS MAIN ELEMENT,0,0,0,0,0,0,0,0,0,1,0,0,0
S9104,0,0,0,0,0,0,0,0,0,0,1,0,0
EH 2.0/10,0.064823,0.002705,0.205991,0.913918,-0.003364,-0.07721,-0.002745,-0.142444,0.014629,0.032011,-0.050285,0.041969,0.001028966
E209  (13.72%),0.006008,0.006291,-0.02641,0.972307,0.004205,0.062858,-0.00182,-0.144517,0.022281,0.008607,0.082542,0.007647,0.00102924
S3016-095-87,0.163149,0.040444,0.00263,1.02575,0.015499,-0.159366,-0.024963,-0.059999,0.041744,0.003088,-0.021591,-0.026386,0.00103484
GOE 704 AIRFOIL,0.221162,0.008485,0.095995,0.759363,0.007462,-0.112811,0.027828,0.108848,0.012588,0.064746,-0.199886,0.006219,0.00103785
GOE 387 AIRFOIL,0.040354,0.003555,0.207039,0.432268,0.061546,0.074748,-0.004315,0.158991,0.028292,-0.000418,-0.006731,0.004671,0.001041594
MH 64  8.59%,0.16712,0.021758,-0.001105,1.08911,0.014427,-0.127707,-0.03378,-0.074153,-0.010877,0.029891,-0.071711,-0.002974,0.001042892
S4053,0.048644,0.015596,-0.008756,1.122962,-0.003638,-0.145161,0.004777,-0.033997,-0.003079,0.012757,0.00012,-0.010224,0.001044052
SD6060-104-88,0.040311,0.004639,0.015042,1.05873,0.01285,-0.108303,0.00744,-0.110178,0.04356,0.031584,-0.00828,0.012603,0.001045628
GOE 628 AIRFOIL,0.243508,0.014501,0.106041,0.238784,0.096844,0.103042,-0.022086,0.192927,-0.00488,0.010089,0.001997,0.019233,0.001053456
GOE 367 AIRFOIL,-0.01183,0.007764,0.179209,0.449061,0.039782,0.033931,0.023678,0.138668,0.093082,0.048734,-0.001713,-0.000365,0.001058072
GOE 412 AIRFOIL,0.037906,0.004669,0.059711,0.710648,0.003973,-0.059359,0.028845,0.156033,0.044414,0.013056,0.029902,-0.029799,0.001061376
EPPLER 1211 AIRFOIL,0.281877,0.010714,0.163403,0.215688,0.003656,0.208648,-0.041434,0.081241,-0.007653,-0.008847,0.062461,0.030245,0.001064362
GOE 480 AIRFOIL,0.041032,0.001907,0.146448,0.635883,0.003938,-0.028422,-0.000029,0.146013,0.009236,0.007126,0.04603,-0.009161,0.001065364
EPPLER 855 AIRFOIL,-0.085362,-0.015839,-0.113,0.965013,0.020701,0.14698,0.022315,-0.077763,0.004707,-0.014179,0.175445,-0.029019,0.001068606
FX 84-W-150,-0.054262,-0.00254,0.062566,0.682363,0.019513,0.044855,-0.006594,0.074614,0.156524,-0.015346,0.047255,-0.008948,0.001071674
SG6050,0.035486,0.000112,-0.051345,0.819354,0.005262,0.063666,0.032325,0.064639,0.017692,0.021761,-0.012878,0.003927,0.001077452
GOE 677 (= M 6) AIRFOIL,0.066939,-0.002147,0.157585,0.853025,-0.014681,-0.085361,0.029827,-0.021029,0.018558,0.062031,-0.094344,0.029597,0.001078828
EPPLER 422 AIRFOIL,0.037572,0.027096,0.306237,0.274998,0.038569,0.14346,-0.048168,0.200662,-0.050086,-0.020207,-0.015006,0.104872,0.001079508
GOE 533 AIRFOIL,-0.002325,0.000858,0.128262,0.708253,0.035098,0.115961,-0.019208,-0.002023,-0.00486,-0.041005,0.107977,-0.026988,0.001080064
NACA 63-412 AIRFOIL,-0.035757,0.001484,-0.100539,1.139564,0.016191,0.002848,-0.004974,-0.131706,0.046649,0.004886,0.091415,-0.030061,0.001080162
R140  12.04% (smoothed),-0.005368,-0.002737,-0.085755,1.281989,0.001755,-0.118159,0.043415,-0.190903,0.063845,0.027406,-0.002776,-0.012714,0.001081682
E184  (8.33%),0.075263,-0.000653,0.044638,1.187594,-0.002247,-0.105976,-0.010079,-0.078704,-0.032204,0.014501,-0.12637,0.034237,0.001083006
GOE 758 AIRFOIL,-0.009528,-0.00349,0.122304,0.713574,0.015595,0.077625,-0.001904,0.05693,0.017625,-0.032221,0.04458,-0.001089,0.001083896
E210  (13.64%),-0.038097,0.005969,-0.044746,0.93247,0.000727,0.0652,0.005451,-0.059932,0.005222,-0.007504,0.171253,-0.036012,0.001091226
BOEING-VERTOL VR-7 AIRFOIL WITH TAB,0.01034,0.013523,0.125238,0.891041,0.038828,-0.003266,-0.022974,-0.044264,0.060104,-0.03046,-0.047093,0.008982,0.001091992
GOE 326 (PFALZ 55) AIRFOIL,0.124138,0.01085,0.185101,0.837917,0.029738,-0.229555,0.014084,0.071783,0.002046,0.008043,-0.024673,-0.029474,0.0010934
BOEING-VERTOL VR-8 AIRFOIL,0.027499,0.007464,-0.007327,1.319344,-0.014295,-0.142294,0.007797,-0.176135,-0.027037,0.016835,-0.012371,0.000519,0.001096774
EPPLER 637 AIRFOIL,0.049012,0.003696,0.381215,0.656182,0.015824,-0.002295,-0.004109,-0.048177,0.009038,-0.00445,-0.117933,0.061995,0.00109863
EPPLER 397 AIRFOIL,-0.021478,0.003789,-0.169407,0.822259,0.05353,0.039064,-0.00593,0.07691,0.040118,0.026432,0.16859,-0.033877,0.001099342
BOEING-VERTOL VR-7 AIRFOIL,-0.005826,-0.000146,0.129787,0.952157,0.009157,-0.003522,0.003063,-0.062986,0.032184,-0.040908,-0.013347,0.000387,0.00110184
